상권_코드,상권_코드_명,상권_총매출,total_weighted_age_sum,상권_총유동인구,업종_개수,상권_평균_연령,상권_효율성,district_cluster_label
3110001,이북5도청사,727745521,33367770560,171658.0,3,45.85087726015699,4239.508330517657,3
3110002,독립문역 1번,5423729003,304461413610,529414.0,6,56.135071173650964,10244.778194380957,3
3110003,세검정초등학교,1469123230,73115098480,320076.0,12,49.76784587362355,4589.919987752909,3
3110004,대신고등학교,719920125,31611396285,664277.0,2,43.90958828245009,1083.7649429379612,3
3110005,세검정,804309232,37129170980,88410.0,4,46.16280592437611,9097.491595973306,3
